title,org,category,tags,source_of_finance,project_title,eligibility,contractor_class,performance_period,place_of_performance,dossier_fee,pre_bid_meeting,contact_email,created_date,submission_deadline,submission_time,pdf_url,pdf_accessible,description,detail_url
Alteration Works To Office Block At Sptc New Port Bus Depot,Seychelles Public Transport Corporation,Infrastructure,,Government of Seychelles,,The following are eligible to tender on equal terms. Contractors Class 2 registered and licensed to operate in Seychelles.,Class 2,16 Calendar Weeks,SPTC NEW PORT BUS DEPOT,SR 250.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,28 October 2025.,2025-11-19,10:30,https://www.ntb.sc/media/tender-files/ADVERT_-_ALTERNATIOTOFFICE_BLOCK_NEW_PORT_final.pdf,True,"Posted in Advertised Tenders . Seychelles Public Transport Corporation invitation to tender Alteration Works To Office Block At Sptc New Port Bus Depot Source Of Finance: Government of Seychelles Eligibility: The following are eligible to tender on equal terms. Contractors Class 2 registered and licensed to operate in Seychelles. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/alteration-works-to-office-block-at-sptc-new-port-bus-depot
PUC-Supply of Forklifts.,Public Utilities Corporation,Infrastructure,Vehicles,The Public Utilities Corporation (PUC),Supply of Forklifts.,All local and international suppliers.,,,,Free,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,14 October 2025.,2025-11-26,10:00,https://www.ntb.sc/media/tender-files/2025-Advert-_Forklift.pdf,True,"Posted in Advertised Tenders . Source of Finance : The Public Utilities Corporation (PUC) Project Title : Supply of Forklifts. Eligibility : All local and international suppliers. Scope : Bids are invited for the supply of two Forklifts as per required specification and requirement, the procurement is divided into lot of two (2) as follows; Bidders may participate in one or both lots and will be eligible be awarded with one or both lots. The successful bidder will be required to deliver the Forklift (s) within eight (8) weeks on an ex-works basis from the date of signing the contract. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/puc-supply-of-forklifts
SPTC-Procurement of Vehicles,Seychelles Public Transport Corporation,Infrastructure,Vehicles,GOS.,“PROCUREMENT OF VEHICLES” IN THE EMAIL,"The following are eligible to tender on equal terms. All licensed Motor Vehicle
dealers operating in Seychelles.",,,,Free,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,14 October 2025.,2025-10-30,10:00,https://www.ntb.sc/media/tender-files/Advert-_Procurement_of_vehicles_-_SPTC_002.pdf,True,"Posted in Advertised Tenders . The Seychelles Public Transport Corporation (“SPTC”) invites tenders for the Procurement of Vehicles. The tender is divided into Two (2) lots as follows: Bidders may participate in one (1) or both lots. And Bidders will be eligible to be awarded with one (1) lot or both lots. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/sptc-procurement-of-vehicles
FAM-Procurement of One (1) Double Cab Pick-up,,Infrastructure,Vehicles,,Tender for the Procurement of One (1) Double Cab Pick-up .,,,,,,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,14 October 2025.,2025-10-30,11:00,https://www.ntb.sc/media/tender-files/Advert-_Procurement_of_twin_cab_for_Family_Department_final.docx,False,"Posted in Advertised Tenders . Project Title  : Tender for the Procurement of One (1) Double Cab Pick-up . Eligibility   : All licensed Motor Vehicle dealers operating in Seychelles are    eligible to tender on equal terms. Purpose: Vehicle is to be used for Family Department Daily Operations. Period of Delivery Three (3) Months from the date of award of the contract. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/fam-procurement-of-one-1-double-cab-pick-up
Prison-Procurement Of One (1) Sport Utility Vehicle (Suv),Seychelles Prison Service,Infrastructure,Vehicles,Government of Seychelles,Procurement of One (1) Sport Utility Vehicle (SUV),,,,,,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,02 October 2025.,2025-10-23,11:00,https://www.ntb.sc/media/tender-files/ADVERT_-_PROCUREMENT_OF_ONE_1_5-SEATER_SPORT_UTILITY_VEHICLE_SUV_FINAL.doc,False,"Posted in Advertised Tenders . The Seychelles Prison Service invites tenders for the Procurement Of One (1) Sport Utility Vehicle (Suv) For Seychelles Prison Service. Source of Finance : Government of Seychelles Project Title: Procurement of One (1) Sport Utility Vehicle (SUV) Eligibility : All licensed and registered Motor Vehicle dealers operating in Seychelles are eligible to tender on equal terms. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/prison-procurement-of-one-1-sport-utility-vehicle-suv-for-seychelles-prison-service
Utilities Regulatory Commission   - Procurement of Vehicles - 2 LOTS,,Infrastructure,Vehicles,Government of Seychelles,,The following are eligible to tender on equal terms. All licensed Motor Vehicle dealers operating in Seychelles.,,,,Free,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,30 September 2025.,2025-10-15,11:00,https://www.ntb.sc/media/tender-files/invitation_to_tender_002_002.docx,False,"Posted in Advertised Tenders . The Utilities Regulatory Commission invites tenders for the Procurement of Vehicles. The tender is divided into the following lots: 1. Lot 1 – One (1) Smart Hybrid SUV 2. Lot 2 – One (1) Smart Hybrid Car Source of finance: Government of Seychelles Eligibility: The following are eligible to tender on equal terms. All licensed Motor Vehicle dealers operating in Seychelles. Subject: Vehicles are to be used for transportation of staff, administrative duties and inspection visits. Period of Delivery: Two (2) Months from the date of the award of contract. Access to tender Dossier: The Tender Dossier can be obtained at the Utilities Regulatory Commission, Unity House, Block B, Third Floor or via email to This email address is being protected from spambots. You need JavaScript enabled to view it. as from Wednesday 1st October 2025 between 9:00am to 3:00pm. Closing date for Dossier:  The closing date for obtaining the tender dossier is Tuesday 07th October 2025 at 12:00pm. Note:  The tender documents are to be given to interested bidders for free. No biding documents shall be issued past this deadline The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/utilities-regulatory-commission-procurement-of-vehicles-2-lots
SFA-Procurement of Licenses for Microsoft Office 365 Business Premium & Exchange Online (Plan 1).,Seychelles Fisheries Authority,Infrastructure,Good and Services,,“Proc urement of Licenses For Microsoft Office 365 Business Premium & Exchange Online” in the email," The tender is open to local and regional (SADC), Microsoft registered and licensed service providers;
 The service providers should be registered partners or distributors for Microsoft Products.
 The service providers should have experience in supplying Microsoft products to Government
Organisat",,,,,"06th October 2025 at 10:00
am",ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,26 September 2025.,2025-10-14,11:00,https://www.ntb.sc/media/tender-files/Advert_-_sfa_renewal_MS_amended_copy_1.pdf,True,"Posted in Advertised Tenders . Procurement of Licenses for Microsoft Office 365 Business Premium & Exchange Online (Plan 1). The Seychelles Fisheries Authority is inviting local and Southern Africa Development (SADC) Microsoft registered and licensed service providers to participate in the tender for the Procurement of Licenses for Microsoft Office 365 Business Premium & Exchange Online (Plan 1). Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/sfa-procurement-of-licenses-for-microsoft-office-365-business-premium-exchange-online-plan-1
Renovation Work Seychelles Institute Of Teachers Education At Mont Fleuri,Seychelles Infrastructure Agency,Infrastructure,,Government of Seychelles,,The following are eligible to tender on equal terms. Contractors Class 1 registered and licensed to operate in Seychelles.,Class 1,12 Calendar Weeks,Seychelles Institute of Teachers Education (S.I.T.E) – Mont Fleuri,SR 350.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,17 September 2025.,2025-10-06,10:00,https://www.ntb.sc/media/tender-files/Advert-Renovation_Work_S.I.T.E_at_Mont_Fleuri_final.pdf,True,"Posted in Advertised Tenders . Seychelles Infrastructure Agency  invitation to tender Renovation Work Seychelles Institute Of Teachers Education At Mont Fleuri Source Of Finance: Government of Seychelles Eligibility : The following are eligible to tender on equal terms. Contractors Class 1 registered and licensed to operate in Seychelles. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/renovation-work-seychelles-institute-of-teachers-education-at-mont-fleuri
PUC-Supply of Calcium Hypochlorite,Public Utilities Corporation,Infrastructure,Good and Services,The Public Utilities Corporation (PUC),Supply of 151 Metric Tonnes (MT) of Calcium Hypochlorite for water treatment.,All local and international manufacturers / suppliers.,,,,Free,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,16 September 2025.,2025-10-14,10:30,https://www.ntb.sc/media/tender-files/Advert_Calcium_Hypo_2026_copy_1.pdf,True,"Posted in Advertised Tenders . Source of Finance : The Public Utilities Corporation (PUC) Project Title :   Supply of 151 Metric Tonnes (MT) of Calcium Hypochlorite for water treatment. Eligibility : All local and international manufacturers / suppliers. Scope : Supply of 151 Metric Tonnes (MT) of Calcium Hypochlorite for use in water treatment. The supply shall be executed in three shipments throughout the year 2026, in reefer containers. Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/puc-supply-of-calcium-hypochlorite
SFA-Tender for the Procurement of Two (2) Smart Hybrid SUV Vehicles.,Seychelles Fisheries Authority,Infrastructure,Vehicles,SFA Budget,Tender for the Procurement of Two (2) Smart Hybrid SUV Vehicles.,,,,,,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,15 September 2025.,2025-10-02,10:00,,False,"Posted in Advertised Tenders . The Seychelles Fisheries Authority (SFA) invites tenders for the Procurement of Two (2) Smart Hybrid SUV Vehicles SOURCE OF FINANCE    : SFA Budget Project Title   : Tender for the Procurement of Two (2) Smart Hybrid SUV Vehicles. Eligibility  : All licensed And Registered Motor Vehicle dealers operating in Seychelles are eligible to   tender on equal terms. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/sfa-tender-for-the-procurement-of-two-2-smart-hybrid-suv-vehicles
Agriculture Dept - Procurement of Vehicles (Divided into Two Lots.,Agriculture Department,Infrastructure,Vehicles,Government of Seychelles,,The following are eligible to tender on equal terms. All licensed Motor Vehicle dealers operating in Seychelles.,,,,Free,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,10 September 2025.,2025-09-25,11:30,https://www.ntb.sc/media/tender-files/Advert-_Procurement_of_vehicles_002.docx,False,"Posted in Advertised Tenders . The Agriculture Department invites tenders for the Procurement of Vehicles. The tender is divided into the following lots: 1. Lot 1 – One (1) Tipper Truck Vehicle 2. Lot 2 – Two (2) Double Cab Vehicle Source of finance: Government of Seychelles Eligibility:The following are eligible to tender on equal terms. All licensed Motor Vehicle dealers operating in Seychelles. Subject: Vehicles are to be used for administrative duties and inspection visits. Period of Delivery: Three (3) Months from the date of the award of contract. Access to tender Dossier: The Tender Dossier can be obtained at the Agriculture Department’s Procurement Unit, 1st Floor at Espace Building, Victoria or by emailing the Procurement Unit at This email address is being protected from spambots. You need JavaScript enabled to view it. as from Thursday 11th September 2025 between 8:30am to 3:00pm. Closing date for Dossier: The closing date for obtaining the tender dossier is Wednesday 17th September 2025 at 12.00pm. Note: The tender documents are to be given to interested bidders for free The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/agriculture-dept-procurement-of-vehicles-divided-into-two-lots
SIB - Procurement of One 7-Seater MPV,,Infrastructure,Vehicles,Government Budget,Procurement of One (1) 7-Seater.,The following are eligible to tender on equal terms. All licensedAnd registered Motor Vehicle dealers operating in Seychelles.,,,,Free,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,03 September 2025.,2025-09-30,10:00,,False,"Posted in Advertised Tenders . The Seychelles Investment Board (SIB) invites tenders for “Procurement of One 7-Seater MPV” SOURCE OF FINANCE : Government Budget Project Title : Procurement of One (1) 7-Seater. Eligibility : The following are eligible to tender on equal terms. All licensedAnd registered Motor Vehicle dealers operating in Seychelles. Subject :  Vehicle to be used for administrative duties and site visit purposes Period of Delivery : Three (3) Month from the date of contract award Access to tender Dossier :  The tender Dossiers can be obtained at the Seychelles Investment Board, Independence House Annex, Second Floor, as from Thursday 4th September 2025 at 8.00 am Closing date for Dossier  : The closing date for obtaining the tender dossier is on Friday 12th September 2025 at 3.00 pm Note: The tender documents are to be given to the interested bidders for free. Soft copy of the Tender Dossiers can be obtained via e-mail to This email address is being protected from spambots. You need JavaScript enabled to view it. No bidding documents shall be issued past this deadline The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/sib-procurement-of-one-7-seater-mpv-2
Renovation Of Rehabilitation Centre At North East Point,Seychelles Infrastructure Agency,Infrastructure,,Government of Seychelles,,The following are eligible to tender on equal terms. Contractors Class 2 registered and licensed to operate in Seychelles.,Class 2,26 Calendar Weeks,NORTH EAST POINT,SR 350.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,03 September 2025.,2025-09-24,10:00,https://www.ntb.sc/media/tender-files/RENOVATION_OF_REHABILITATION_CENTRE_AT_NORTH_EAST_POINT.pdf,True,"Posted in Advertised Tenders . Seychelles Infrastructure Agency invitation to tender - Renovation Of Rehabilitation Centre At North East Point Source Of Finance: Government of Seychelles The following are eligible to tender on equal terms. Contractors Class 2 registered and licensed to operate in Seychelles. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/renovation-of-rehabilitation-centre-at-north-east-point
Social Affairs Dept  - Procurement of One Double Cab Pick-up,,Infrastructure,Vehicles,Government Budget,Procurement of One Double cab Pick-up”,The following are eligible to tender on equal terms. All licensed  Motor Vehicle dealers operating in Seychelles.,,,,Free,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,01 September 2025.,2025-09-23,10:30,https://www.ntb.sc/media/tender-files/Advert-_Procurement_of_vehicles_SAD_2025_Final_copy_1.docx,False,"Posted in Advertised Tenders . The Social Affairs Department invites tenders for “Procurement of One Double Cab Pick-up” SOURCE OF FINANCE        : Government Budget Project Title   : Procurement of One Double cab Pick-up” Eligibility  :   The following are eligible to tender on equal terms. All licensed  Motor Vehicle dealers operating in Seychelles. Subject   :  Vehicle to be used for administrative duties and site visit/Official visits Period of Delivery  :  Three (3) Months from the date of confirmation Access to tender Dossier :  The tender Dossiers can be obtained at the Social Affairs Department,   Unity House Block C, Second Floor, as from Tuesday 2nd September    2025. Closing date for Dossier  :  The closing date for obtaining the tender dossier is Tuesday 09th September Note: The tender documents are to be given to the interested bidders for free. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/social-affairs-dept-procurement-of-one-double-cab-pick-up
SLA - Procurement of Vehicles,,Infrastructure,Vehicles,Government of Seychelles,Procurement of Vehicles for the Seychelles,,,,,Free,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,29 August 2025.,2025-09-10,11:00,https://www.ntb.sc/media/tender-files/Advert_for_Procurment_of_Vehicles_Final.pdf,True,"Posted in Advertised Tenders . The Seychelles Licensing Authority invites bidders to tender for the Procurement of Vehicles for the Seychelles Licensing Authority. The Procurement of Vehicle is divided into Two (2) Lots as follows: The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/sla-procurement-of-vehicles
Procurement Of One (1) Mini Bus.,,Infrastructure,Vehicles,SQA Budget,Tender for the Procurement of One (1) Mini Bus Vehicle.,,,,,,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,25 August 2025.,2025-09-08,11:30,,False,"Posted in Advertised Tenders . The Seychelles Qualifications Authority (SQA) invites tenders for the Procurement of one (1) Mini Bus SOURCE OF FINANCE    : SQA Budget Project Title   :   Tender for the Procurement of One (1) Mini Bus Vehicle. Eligibility :   All licensed And Registered Motor Vehicle dealers operating in Seychelles are eligible to tender on equal terms. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/procurement-of-one-1-mini-bus
"Flood Mitigation Behind The Baie Ste Anne Police Station - Desilting, Retaining Wall & Culver",Seychelles Infrastructure Agency,Infrastructure,,Government of Seychelles,,"The following are eligible to tender on equal terms. Contractors Class 1 ONLY, are registered and licensed to operate in Seychelles.",Class 1,16 Calendar Weeks,BAIE STE ANNE POLICE STATION,SR 500.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,20 August 2025.,2025-09-08,10:30,https://www.ntb.sc/media/tender-files/ADVERT-FLOOD_MITIGATION_BEHIND_BAIE_STE_ANNE_POLICE_STATION_FINAL.pdf,True,"Posted in Advertised Tenders . Seychelles Infrastructure Agency On Behalf Of The Ministry Of Agriculture, Climate Change & Environment (Department Of Climate Change) invitation to tender - Flood Mitigation Behind The Baie Ste Anne Police Station - Desilting, Retaining Wall & Culvert Source Of Finance : Government of Seychelles The following are eligible to tender on equal terms. Contractors Class 1 ONLY, are registered and licensed to operate in Seychelles. where actual progress of works has fallen behind the expected progress The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/flood-mitigation-behind-the-baie-ste-anne-police-station-desilting-retaining-wall-culver
"Road Enlargement At Vilaz Joseph (Kan Per), Baie Ste Anne - Praslin",Seychelles Land Transport Agency,Roads & seawalls,,Government of Seychelles,,,Class II,Four (4) Months,"Baie Ste Anne, Praslin",SR 500.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,19 August 2025.,2025-09-09,11:00,https://www.ntb.sc/media/tender-files/KAN_PER_BAIE_STE_ANNE_PRASLIN.pdf,True,"Posted in Advertised Tenders . Seychelles Land Transport Agency invitation to tender Road Enlargement At Vilaz Joseph (Kan Per), Baie Ste Anne - Praslin Source Of Finance: Government of Seychelles Eligibility: The following are eligible to tender on equal terms. All Contractors Class II only registered and licensed to operate in Seychelles. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/road-enlargement-at-vilaz-joseph-kan-per-baie-ste-anne-praslin
Construction Of Motorable Access Road At Pasquere (Phase 5) – Baie Ste Anne Praslin,Seychelles Land Transport Agency,Roads & seawalls,,Government of Seychelles,,,Class I,Six (6) Months,"Pasquere, Baie St Anne Praslin",SR 500.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,19 August 2025.,2025-09-09,11:00,https://www.ntb.sc/media/tender-files/PASQUERE_PHASE_5__BAIE_ST._ANNE_PRASLIN.pdf,True,"Posted in Advertised Tenders . Seychelles Land Transport Agency invitation to tender Construction Of Motorable Access Road At Pasquere (Phase 5) – Baie Ste Anne Praslin Source Of Finance: Government of Seychelles Eligibility: The following are eligible to tender on equal terms. All Contractors Class I and II only registered and licensed to operate in Seychelles. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/construction-of-motorable-access-road-at-pasquere-phase-5-baie-ste-anne-praslin
Construction Of Footpath At St Matthew’s Church To Palm Beach Hotel - Grand Anse Praslin,Seychelles Land Transport Agency,Roads & seawalls,,Government of Seychelles,,,Class II,Six (6) Weeks,Grand Anse Praslin,SR 500.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,19 August 2025.,2025-09-08,11:00,https://www.ntb.sc/media/tender-files/PALM_BEACH_HOTEL_GRAND_ANSE_PRASLIN.pdf,True,"Posted in Advertised Tenders . Seychelles Land Transport Agency Invitation To Tender Construction Of Footpath At St Matthew’s Church To Palm Beach Hotel - Grand Anse Praslin Source Of Finance: Government of Seychelles Eligibility: The following are eligible to tender on equal terms. All Contractors Class II only registered and licensed to operate in Seychelles. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/construction-of-footpath-at-st-matthews-church-to-palm-beach-hotel-grand-anse-praslin
Surfacing Of Earth Road At Pension Michel – La Digue,Seychelles Land Transport Agency,Roads & seawalls,,Government of Seychelles,,,Class I,Two (2) Months,"Anse Reunion, La Digue",SR 500.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,19 August 2025.,2025-09-09,11:00,https://www.ntb.sc/media/tender-files/PENSION_MICHEL__LA_DIGUE.pdf,True,"Posted in Advertised Tenders . Seychelles Land Transport Agency invitation to tender Surfacing Of Earth Road At Pension Michel – La Digue Source Of Finance: Government of Seychelles Eligibility: The following are eligible to tender on equal terms. All Contractors Class I and II only registered and licensed to operate in Seychelles. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/surfacing-of-earth-road-at-pension-michel-la-digue
PUC - Supply of HDPE Pipes.,Public Utilities Corporation,Infrastructure,Good and Services,The Public Utilities Corporation (PUC),Supply of High-Density Polyethylene (HDPE) pipes for potable and wastewater application.,All local and international manufacturers / suppliers.,,,,Free,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,29 July 2025.,2025-09-10,10:00,https://www.ntb.sc/media/tender-files/2025-Advert-_HDPE_Pipes_003.docx,False,"Posted in Advertised Tenders . Source of Finance:  The Public Utilities Corporation (PUC) Project Title:    Supply of High-Density Polyethylene (HDPE) pipes for potable and wastewater application. Eligibility: All local and international manufacturers / suppliers. Scope:    Bids are invited for the supply of 110mm HDPE pipes for potable water application and 110 and 225mm HDPE pipes for wastewater applications. Bidders must quote for all items requested as per the Schedule of Requirements.The successful bidder will be required to deliver all the pipes within Eight (8) weeks ex-works basis from the date of signing the contract document. Collection of tender :  Soft copy of the Tender dossier can be obtained for free of charge via email to This email address is being protected from spambots. You need JavaScript enabled to view it. cc: This email address is being protected from spambots. You need JavaScript enabled to view it. and This email address is being protected from spambots. You need JavaScript enabled to view it. or hard copy from the PUC’s Procurement Office, Maison de Malavois, Bois de Rose Avenue for a non-refundable fee of SCR500.00 as from Wednesday 30th July 2025 to Tuesday 19th August 2025 from 08:00hrs to 12:00hrs and 13.00hrs to 16.00hrs. No bidding documents shall be made available past this deadline period. Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/puc-supply-of-hdpe-pipes
"Construction Of 28 Affordable Housing Units (2NO. 3beroom Blocks & 1NO. 2bedroom Block)  Boundary Wall, Sewer Line, Access Road And Parking At Dan Kan, Les Mamelles",Seychelles Infrastructure Agency,Housing,,Government of Seychelles,,The following are eligible to tender on equal terms. Contractors Class 1 registered and licensed to operate in Seychelles.,Class 1,60 Calendar Weeks,Dan Kan – Les Mamelles,SR 350.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,24 July 2025.,2025-08-14,10:30,https://www.ntb.sc/media/tender-files/Proposed_28_Units_Affordable_Housing_Les_Mammeles_FOR_ADVERT_-_VET_01.pdf,True,"Posted in Advertised Tenders . Seychelles Infrastructure Agency  on behalf of the Ministry Of Lands And Housing (MLH): invitation to tender Construction Of 28 Affordable Housing Units (2NO. 3beroom Blocks & 1NO. 2bedroom Block) Boundary Wall, Sewer Line, Access Road And Parking At Dan Kan, Les Mamelles Source Of Finance: Government of Seychelles Eligibility : The following are eligible to tender on equal terms. Contractors Class 1 registered and licensed to operate in Seychelles. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/construction-of-28-affordable-housing-units-2no-3beroom-blocks-1no-2bedroom-block-boundary-wall-sewer-line-access-road-and-parking-at-dan-kan-les-mamelles
Construction Of Thirty-Two (32) Affordable Housing Units At Takamaka,Seychelles Infrastructure Agency,Housing,,Government of Seychelles,,The following are eligible to tender on equal terms. Contractors Class 1 registered and licensed to operate in Seychelles.,Class 1,80 Calendar Weeks,TAKAMAKA,SR 500.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,24 July 2025.,2025-08-14,10:30,https://www.ntb.sc/media/tender-files/TENDER_ADVERT_-__PROPOSED_CONSTRUCTION_OF_32UNITS_AFFORDABLE_HOUSING_AT_TAKAMAKA.pdf,True,"Posted in Advertised Tenders . Seychelles Infrastructure Agency  on behalf of the Ministry Of Lands And Housing (MLH): invitation to tender Construction Of Thirty-Two (32) Affordable Housing Units At Takamaka Source Of Finance: Government of Seychelles Eligibility : The following are eligible to tender on equal terms. Contractors Class 1 registered and licensed to operate in Seychelles. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/construction-of-thirty-two-32-affordable-housing-units-at-takamaka
"PMC-Tender for the supply of accessories and fittings for the Sewage Treatment Plants Sewage Submersible Pumps, RFP Covers, portable flow meter and level Control Float Switch",Property Management Corporation,Infrastructure,Good and Services,Property Management Corporation,,,,,,,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,23 July 2025.,2025-09-22,10:00,,False,"Posted in Advertised Tenders . The Property Management Corporation (PMC) is inviting all interested parties to participate in the Tender for the supply of accessories and fittings for the Sewage Treatment Plants Sewage Submersible Pumps, RFP Covers, portable flow meter and level Control Float Switch. Source of Finance: Property Management Corporation Eligibility: The following are eligible to tender on equal terms. Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/pmc-tender-for-the-supply-of-accessories-and-fittings-for-the-sewage-treatment-plants-sewage-submersible-pumps-rfp-covers-portable-flow-meter-and-level-control-float-switch
