title,org,eoi_type,category,tags,created_date,submission_deadline,submission_time,description,pdf_url,pdf_text,detail_url
Agri Dept. Procurement for The Supply Of Equipment For Praslin Abattoir,Posted inExpression of Interest,EOI,Infrastructure,Good and Services,21 November 2023.,2023-12-05,10:30,"Posted in Expression of Interest . Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/procurement-for-the-supply-of-equipment-for-praslin-abattoir
SFA-Procurement Of One (1) Mid Size Sport Utilities Vehicle (SUV) -Limited,Posted inExpression of Interest,EOI,Infrastructure,Vehicles,14 November 2023.,2023-11-29,10:30,"Posted in Expression of Interest . The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/sfa-procurement-of-one-1-mid-size-sport-utilities-vehicle-suv-limited
SRC- ” (TMS )  &  (ASYCUDA World)” - Limited,Posted inExpression of Interest,EOI,Infrastructure,Good and Services,14 November 2023.,2023-12-13,,"Posted in Expression of Interest . Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/src-procurement-for-the-supply-of-servers-and-equipment-for-backup-and-disaster-recovery-of-the-tax-management-system-tms-and-replacement-for-the-automated-system-for-customs-data-asycuda-world-limited
Tender For The Supply Of Autoclave- Limited,Posted inExpression of Interest,EOI,Infrastructure,Good and Services,06 November 2023.,2023-12-04,10:30,"Posted in Expression of Interest . Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/tender-for-the-supply-of-autoclave
SCAA - Procurement for the Supply of Two (2) Mobile Floodlight Towers for SIA,Posted in Expression of Interest,Limited Bidding,Infrastructure,Good and Services,21 September 2023.,2023-10-16,11:00,"Posted in Expression of Interest . Procurement for the Supply of Two (2) Mobile Floodlight Towers for the Seychelles International Airport - Limited Bidding Method Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/scaa-procurement-for-the-supply-of-two-2-mobile-floodlight-towers-for-sia
"MACCE - RFP For Procurement Of Consultancy Services To Conduct A Coco De Mer Survey Covering Both Private And Government Properties On Mahe, Praslin, Curieuse La Digue And Silhouette",Ministry of Agriculture,EOI,Infrastructure,Good and Services,11 September 2023.,2023-09-26,11:00,"Posted in Expression of Interest . Ministry of Agriculture, Climate Change and Environment - RFP For Procurement Of Consultancy Services To Conduct A Coco De Mer Survey Covering Both Private And Government Properties On Mahe, Praslin, Curieuse La Digue And Silhouette Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/macce-rfp-for-procurement-of-consultancy-services-to-conduct-a-coco-de-mer-survey-covering-both-private-and-government-properties-on-mahe-praslin-curieuse-la-digue-and-silhouette
PUC-Procurement of PC Fittings,Posted in Expression of Interest,EOI,Infrastructure,Good and Services,30 August 2023.,2023-09-14,10:00,"Posted in Expression of Interest . Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/puc-procurement-of-pc-fittings
Procurement Of Distribution Transformers,Public Utilities Corporation,Limited Bidding,Infrastructure,,14 August 2023.,2023-08-18,,"Posted in Expression of Interest . The Public Utilities Corporation (PUC) wishes to inform interested parties that it will be undertaking the Procurement of Distribution Transformers through the adoption of Limited Bidding Method under Section 61 2 (a) of the Public Procurement Act 2008. This is on the grounds of restricted qualified sources to provide the goods as per required specifications. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/procurement-of-distribution-transformers
HCA :  STANDBY GENERATORS,Posted inExpression of Interest,EOI,Infrastructure,Good and Services,11 August 2023.,2023-09-06,10:00,"Posted in Expression of Interest . Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/hca-standby-generators
PUC-Spares for Major Overhaul on Wartsila Engines,Posted inExpression of Interest,EOI,Infrastructure,Good and Services,04 August 2023.,2023-08-21,10:00,"Posted in Expression of Interest . Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/puc-spares-for-major-overhaul-on-wartsila-engines
PUC -Low Voltage,Posted inExpression of Interest,EOI,Infrastructure,Good and Services,21 July 2023.,2023-09-14,10:00,"Posted in Expression of Interest . Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/puc-low-voltage
Application for Provision of Security Services on Government-Owned Premises,Ministry of Education,Limited Bidding,Infrastructure,,11 July 2023.,2023-07-18,03:00,"Posted in Expression of Interest . The Ministry of Education and the Health Care Agency, through the Technical Support Section (TSS) within the Ministry of Finance, National Planning and Trade, wishes to inform all interested Security Service Providers that it will be undertaking the procurement for the Provision of Security Services at Educational and Health Institutions on Mahé, using Limited Bidding Method in line with Section 61 (2) (a) of the Public Procurement Act 2008. This is on the ground of limited number of the qualified Security Services Providers currently on the Technical Support Section (TSS) shortlist of Bidders . The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/security_services_edu_hca_final.pdf,,https://www.ntb.sc/tenders/expression-of-interest/application-for-provision-of-security-services-on-government-owned-premises
"Consultancy for the SCAA Information, Communication and Technology (ICT) Staff Level Assessment",Seychelles Civil Aviation Authority,EOI,Infrastructure,,07 July 2023.,,,"Posted in Expression of Interest . The Seychelles Civil Aviation Authority is seeking local and international expertise of suitable qualified and experience Individual/Consultant/Consultancy Firms to conduct Assessment of its Current Information Communication Technology (ICT) Staffing to establish the right level of personnel in the ICT Division within the right structure that will allow for effectiveness and efficiency in IT service delivery and aligning to achieving the SAA’s business objectives. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/consultancy_ict_staff_resources_assessment_june2023.pdf,,https://www.ntb.sc/tenders/expression-of-interest/consultancy-for-the-scaa-information-communication-and-technology-ict-staff-level-assessment
Procurement of Low Voltage Overhead Cables,Public Utilities Corporation,Limited Bidding,Infrastructure,,07 July 2023.,,,"Posted in Expression of Interest . The Public Utilities Corporation (PUC) wishes to inform interested parties that it will be undertaking the Procurement of Low Voltage Overhead Cables through the adoption of Limited Bidding Method under Section 61 2 (a) of the Public Procurement Act 2008. This is on the grounds of restricted qualified sources to provide the goods as per required specifications. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/procurement-of-low-voltage-overhead-cables
Procurement Of Polyethylene (PE) Compression Fittings,Public Utilities Corporation,Limited Bidding,Infrastructure,,07 July 2023.,,,"Posted in Expression of Interest . The Public Utilities Corporation wishes to inform interested parties that it will be undertaking the Procurement of Polyethyelene (PE) compression fittings through the adoption of Limited Bidding method under Section 61 2 (a) of the Public Procurement Act 2008. This is on the grounds of restricted qualified sources that can supply the specific type of compression fittings that can be used under pressure (PN16) during repairs and maintenance works on the water distribution network The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/pe_fittings_2023.pdf,,https://www.ntb.sc/tenders/expression-of-interest/procurement-of-polyethylene-pe-compression-fittings
Tourism Department :  Printing,Tourism Department,EOI,Infrastructure,Good and Services,07 July 2023.,2023-08-03,11:00,"Posted in Expression of Interest . Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/tourism-department-the-printing-of-the-main-destination-brochure-in-french-german-and-italian
Agriculture Department - Procurement For The Supply Of Fertilizers,Agriculture Department,EOI,Infrastructure,Good and Services,05 July 2023.,2023-07-19,11:00,"Posted in Expression of Interest . Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/agriculture-department-procurement-for-the-supply-of-fertilizers
Renewal Of Microsoft Education Software Licenses For The Ministry Of Education,Ministry of Education,EOI,Infrastructure,Good and Services,04 July 2023.,2023-07-19,10:00,"Posted in Expression of Interest . The Ministry of Education is hereby inviting you to submit bid for the Renewal of Microsoft License for the Ministry of Education Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/renewal-of-microsoft-education-software-licenses-for-the-ministry-of-education
PMC- Procurement of Two (2) Combination Tankers.,Property Management Corporation,EOI,Infrastructure,Vehicles,30 June 2023.,2023-07-20,10:00,"Posted in Expression of Interest . The Property Management Corporation is hereby inviting you to submit bid for Procurement of Two (2) Combination Tankers Please be advised that all bids should be submitted to the National Tender Board (NTB) Secretariat, by accessing the portal which can be found on the NTB’s Website not later than 10:00 am on Thursday 20th July 2023. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/pmc-procurement-of-two-2-combination-tankers
SCAA - Procurement For The Supply Of Airport Fire Fighters Personal Protective Equipment.,Posted inExpression of Interest,EOI,Infrastructure,Good and Services,15 June 2023.,2023-07-17,10:30,"Posted in Expression of Interest . Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/scaa-procurement-for-the-supply-of-airport-fire-fighters-personal-protective-equipment
SCAA-Supply Of One New Holland Tractor For Seychelles International Airport,Posted in Expression of Interest,EOI,Infrastructure,Good and Services,28 April 2023.,2023-05-23,11:00,"Posted in Expression of Interest . Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/scaa-supply-of-one-new-holland-tractor-for-seychelles-international-airport
SCAA - Procurement Of Karcher Cleaning Detergent Rm 81 For Seychelles International Airport (SIA,Posted in Expression of Interest,EOI,Infrastructure,Good and Services,24 April 2023.,2023-05-16,10:30,"Posted in Expression of Interest . Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/scaa-procurement-of-karcher-cleaning-detergent-rm-81-for-seychelles-international-airport-sia
Tender For Re-Networking Works At The Ministry’s Secretariat Office.,Ministry of Local Government,Limited Bidding,Infrastructure,,05 April 2023.,,,"Posted in Expression of Interest . The Ministry of Local Government and Community Affairs wishes to inform interested contractors that it will be undertaking Re-Networking Works at the Ministry’s Secretariat, Oceangate House. through the adoption of a Limited Bidding Method in line with Section 61 (2) (a) of the Public Procurement Act 2008. The contractors must have the manpower and capacity to do the work within the given timeframe. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/tender-for-re-networking-works-at-the-ministry-s-secretariat-office
Procurement Of Karcher Cleaning Detergent Rm 81,Seychelles Civil Aviation Authority,Limited Bidding,Infrastructure,,04 April 2023.,,,"Posted in Expression of Interest . The Seychelles Civil Aviation Authority (SCAA) wishes to inform that it will be procuring Karcher Cleaning Detergent RM81 for the Seychelles International Airport through the use of ""Limited Bidding Method” in line with Section 61 2 (a) of the Public Procurement Act of 2008. The purpose of the procurement is to guarantee that SCAA have sufficient availability cleaning detergent to clean Airport Apron to ensure safety of operational flight when using the Seychelles International Airport The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/final_press_notice-_karcher_detergent_mar2023_final.pdf,,https://www.ntb.sc/tenders/expression-of-interest/procurement-of-karcher-cleaning-detergent-rm-81
Electric Mobility Technology,Ministry of Transport,EOI,Infrastructure,,23 March 2023.,2023-04-14,11:00,"Posted in Expression of Interest . The Department of Land Transport (DoT), within the Ministry of Transport, Republic of Seychelles, invites for the Expression of Interest (EOI) for eligible expert(s), individual consultant, and/or consultancy firm to provide the following Consultancy services: The tender has been divided into three (3) lots; Lot 1 – International Policy, Business and Strategy Expert to support with the Development of the gender-sensitive Nation al Electric Mobility Strategy. Lot 2 – International Electric Mobility Technology Expert provide technical economic and financial expertise on the subject of Electric Mobility Technology Lot 3 – International Battery Technology, Charging and Renewable Energy Integration Expert to provide technical and economic expertise on the subject of the integration of electric mobility charging infrastructure and associated market development of renewable energies. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/eoi_-_electric_mobility_project_003.pdf,,https://www.ntb.sc/tenders/expression-of-interest/electric-mobility-technology
HCA-Procurement of Vehicles for the Health Care Agency,Posted inExpression of Interest,EOI,Infrastructure,Vehicles,15 March 2023.,2023-03-21,10:00,"Posted in Expression of Interest . The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/hca-procurement-of-vehicles-for-the-health-care-agency
SMA-Provision Of Consultancy Service To Develop A Computer System For The Collection And Integration Of Meteorological Information,Posted inExpression of Interest,EOI,Infrastructure,Good and Services,10 February 2023.,2023-03-01,10:30,"Posted in Expression of Interest . REQUEST FOR PROPOSALS RFP No.: SMA/CS/2022 Selection of Consulting Services for : Provision Of Consultancy Service To Develop A Computer System For The Collection And Integration Of Meteorological Information Client: Seychelles Meteorological Authority (SMA) Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/provision-of-consultancy-service-to-develop-a-computer-system-for-the-collection-and-integration-of-meteorological-information
PUC - Procurement of Four (4) Mini Commercial Trucks,Posted inExpression of Interest,EOI,Infrastructure,Vehicles,06 January 2023.,2023-01-24,10:00,"Posted in Expression of Interest . The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/puc.pdf,,https://www.ntb.sc/tenders/expression-of-interest/puc-procurement-of-four-4-mini-commercial-trucks
Procurement of One (1) Sport Utilities Vehicle (SUV) (4WD) for Planning Aurhority,Posted in Expression of Interest,EOI,Infrastructure,,29 November 2022.,2022-12-07,09:30,"Posted in Expression of Interest . The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/procurement-of-one-1-sport-utilities-vehicle-suv-4wd-for-planning-aurhority
Procurement of One (1) Sport Utility Vehicles (SUV) FOR ENVIRONMENT,Posted in Expression of Interest,EOI,Infrastructure,,23 November 2022.,2022-12-01,11:00,"Posted in Expression of Interest . The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/procurement-of-one-1-sport-utility-vehicles-suv-for-environment
Procurement For The Supply Of Promotional Giveaways For The Tourism Department,Tourism Department,Limited Bidding,Infrastructure,,09 November 2022.,,,"Posted in Expression of Interest . The Tourism Department wishes to inform that it will be procuring promotional giveaways through the use of “Limited Bidding Method” in line with Section 61 2 (a) of the Public Procurement Act of 2008. The purpose of this procurement is to re-stock items used as promotional give aways when executing/conducting its various activities and events. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/stb_notice_giveaways_final.pdf,,https://www.ntb.sc/tenders/expression-of-interest/procurement-for-the-supply-of-promotional-giveaways-for-the-tourism-department
The Procurement of Vehicles (Limited Bidding),Posted in Expression of Interest,Limited Bidding,Infrastructure,,19 October 2022.,2022-10-27,10:00,"Posted in Expression of Interest . The Public Enterprise Monitoring Commission invites you to submit your Bid for the Procurement of Vehicles as detailed in the Instruction to Bidders. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/the-procurement-of-vehicles-limited-bidding
Publishing Of Qualified Shortlisted Applicants For Provision Of Security Services On Government-Owned Premises,Posted inExpression of Interest,EOI,Infrastructure,,19 October 2022.,,,"Posted in Expression of Interest . Further to the pre-qualification notice published on Wednesday 11 th May 2022, the Technical Support Services (TSS) is hereby publishing the shortlisted Security Firms/Companies in accordance with Reg 48 (7) (c) of the Public Procurement Regulations. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/publication_of_security_services.pdf,,https://www.ntb.sc/tenders/expression-of-interest/publishing-of-qualified-shortlisted-applicants-for-provision-of-security-services-on-government-owned-premises
Procurement For The Supply Of A New Public Address System For The Seychelles International Airport,Seychelles Civil Aviation Authority,Limited Bidding,Infrastructure,,08 September 2022.,,,"Posted in Expression of Interest . The Seychelles Civil Aviation Authority (SCAA) wishes to inform that it will be procuring  a New Public Address System through the use of “Limited Bidding Method” in line with Section 61 2 (a) of the Public Procurement Act of 2008. The purpose of this procurement is to replace the existing Public Address System with a new and modernized one to allow more flexibility to the users of the system. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/press_notice_-_supply_of_new_pa_system_sep2022_final.pdf,,https://www.ntb.sc/tenders/expression-of-interest/procurement-for-the-supply-of-a-new-public-address-system-for-the-seychelles-international-airport
Construction Of Road Access And Drainage In Exchange For A Plot Of Land In The Zone 20 Extension,Posted inExpression of Interest,EOI,Roads & seawalls,,07 September 2022.,,,"Posted in Expression of Interest . The Industrial Estates Authority, invites applications from locally registered, qualified and experience contractor with Class 1 operating license who do not own or have an interest in industrial land in the industrial estates for pre-qualification for Construction of road access and storm water drain. The Pre- qualification is expected to lead to an Invitation to Bid (ITB) for the above-mentioned project from short-listed applicants through a formal tender procedure The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/iea_-_notice_for_pre-qualification__road_for_land__9.6.22.pdf,,https://www.ntb.sc/tenders/expression-of-interest/construction-of-road-access-and-drainage-in-exchange-for-a-plot-of-land-in-the-zone-20-extension
"Procurement For The Supply, Installation & Commissioning Of Cctv Security Cameras",Seychelles Public Transport Corporation,Limited Bidding,Infrastructure,,11 August 2022.,,,"Posted in Expression of Interest . The Seychelles Public Transport Corporation (SPTC) wishes to inform the public of its intention to carry out the procurement for the Supply, Installation and Commissioning of CCTV Security Cameras at its premises on Mahe and Praslin. The procurement will be undertaken under the “Limited Bidding” Method in line with Section 61 2 (a) of the Public Procurement Act 2008 and will be divided into 2 Lots. This is on the grounds of limited number of suppliers with the capacity to provide ‘the services based on SPTC’s requirements as follow: The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/procuremefor_supply_installation__commissioning_of_cctv_security_cameras_002.pdf,,https://www.ntb.sc/tenders/expression-of-interest/procurement-for-the-supply-installation-commissioning-of-cctv-security-cameras
Engineering Procurement And Construction Project For 6.0 +/- 10% Mwe Enhancement Of Generator Capacity For Praslin And La Digue,Posted in Expression of Interest,EOI,Infrastructure,,10 August 2022.,,,"Posted in Expression of Interest . The PUC wishes to inform interested parties that it is in the process of calling for offers from Manufacturers / System Integrators for the Supply, Installation and commissioning of four 1.6 MW or three 2.0 MW diesel generator plants at its Baie Ste Anne Power Plant, through an Engineering Procurement and Construction (EPC) contract. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/press_notice_-_6.0__10_mwe_enchancement_generation_capacity_for_prasli_.pdf,,https://www.ntb.sc/tenders/expression-of-interest/engineering-procurement-and-construction-project-for-6-0-10-mwe-enhancement-of-generator-capacity-for-praslin-and-la-digue
Procurement Of Consultancy Services To Conduct Assessment Of The Country’s Preparedness For Hydro Floro Carbon (Hfc) Phase-Down For The Implementation Of The Montreal Protocol Kigali Hfc Implementation Plan Project Preparation,Ministry of Agriculture,EOI,Infrastructure,,01 August 2022.,,,"Posted in Expression of Interest . The Department of Climate Change from the Ministry of Agriculture, Climate Change and Environmen t is seeking the expertise of qualified Individual/ Consultants / Consultancy Firms, to provide consultancy services for the  “ Assessment of the Country’s preparedness for the Hydro Floro Carbon (HFC) Phase-down for the Implementation of the Montreal Protocol Kigali HFC Implementation Plan Project Preparation (KIP)” The EOI is expected to lead to a Request for Proposal (RFP) for the above- mentioned consultancy Service from listed applicants The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/expression_of_interest_hydro_floro.pdf,,https://www.ntb.sc/tenders/expression-of-interest/procurement-of-consultancy-services-to-conduct-assessment-of-the-country-s-preparedness-for-hydro-floro-carbon-hfc-phase-down-for-the-implementation-of-the-montreal-protocol-kigali-hfc-implementation-plan-project-preparation
Procurement of Undersea Cable And Jointing Kits,Public Utilities Corporation,Limited Bidding,Infrastructure,,15 July 2022.,,,"Posted in Expression of Interest . The Public Utilities Corporation (PUC) wishes to inform interested parties that it will be undertaking the procurement of 27.6 Km of undersea cable along with related jointing kits, for installation between Praslin and La Digue through the adoption of Limited Bidding Method under Section 61 2 (a) of the Public Procurement Act 2008. This is on the grounds of restricted qualified sources to provide the goods as per required specifications. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/undersea_cable.pdf,,https://www.ntb.sc/tenders/expression-of-interest/procurement-of-undersea-cable-and-jointing-kits
Construction Of 12 Affordable Housing Units At Glacis,Seychelles Infrastructure Agency,Prequalification,Housing,,06 July 2022.,,,"Posted in Expression of Interest . The Seychelles Infrastructure Agency on behalf of Ministry of Lands and Housing, invites applications from locally registered, qualified and experience contractor with Class 1 operating license for prequalification for Construction of 12 Affordable Housing Units at Glacis. The Pre- qualification is expected to lead to an Invitation to Bid (ITB) for the above-mentioned project from short-listed applicants through a formal tender procedure. The following are eligible to Express Interest on equal terms. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/sia-_construction_of_12_affordable_housing_units_at_glacis_prequlification_final.pdf,,https://www.ntb.sc/tenders/expression-of-interest/construction-of-12-affordable-housing-units-at-glacis
Procurement Of Consultancy Services For The Review Of The Access Programme 2018-21,National Institute of Health and Social Studies,EOI,Infrastructure,,25 May 2022.,2022-06-07,15:00,"Posted in Expression of Interest . The National Institute of Health and Social Studies (NIHSS) is inviting sealed Expressions of Interest (EOI) from suitably qualified and experienced consultant(s)/Consultancy Firms to provide “Consultancy Services for the Review of the Access Programme 2018-21” . The EOI is expected to lead to a Request for Proposal (RFP) for the above mentioned Consultancy Services from short-listed applicants. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/eoi-advert_nihss_16_may_2022_-_final.pdf,,https://www.ntb.sc/tenders/expression-of-interest/procurement-of-consultancy-services-for-the-review-of-the-access-programme-2018-21
